id,class_name,duration,instructor
1,Lemke Inc,60.45,Case Lingfoot
2,"Flatley, Schimmel and Nitzsche",38.65,Darby Cumberledge
3,Rath Group,60.63,Christabel Di Carli
4,Ledner Group,17.87,Francois Worsnop
5,Spinka-Balistreri,15.06,Thaddeus Daglish
6,Cummerata Inc,16.92,Rosa Brannon
7,"Bayer, Kessler and Yost",56.74,Brooke Eva
8,McDermott Inc,61.62,Savina Godsafe
9,"Dooley, Treutel and Blanda",31.3,Gerrie Van der Spohr
10,Gerlach LLC,30.34,Sibeal Huscroft
11,Crona-Keebler,52.23,Jena Ricarde
12,Bayer-Reichert,52.52,Rosa Van Halen
13,Hessel LLC,73.54,Ivar Sommersett
14,Lebsack Inc,93.29,Romeo Middlewick
15,Bahringer Inc,78.29,Keenan Goodwins
16,Lockman-Stanton,46.52,Cheryl O'Carrol
17,"Miller, Dicki and Schoen",63.75,Pammi Perutto
18,"Bergnaum, McLaughlin and Sanford",95.71,Stephani Maffucci
19,Krajcik Inc,87.52,Hedwig Haydn
20,Lowe Group,66.58,Taddeusz Umpleby
21,Reichert-Kshlerin,49.54,Enrique Billingham
22,"Schneider, Hansen and Lakin",49.31,Nikolaus Atter
23,Kirlin and Sons,96.86,Alberik Bradborne
24,Beier-Beer,27.64,Krissy Digman
25,"Lueilwitz, Parisian and Spencer",61.16,Floris Beddis
26,Simonis-Haley,33.91,Jim Abel
27,"Von, Yundt and Kassulke",68.21,Fitzgerald Maplethorp
28,"Green, Legros and Hickle",10.23,Anne-marie Scarlett
29,Sporer-Corwin,30.91,Averell Del Dello
30,Crooks-Treutel,62.94,Lorrie Husband
31,Tremblay-Keebler,62.42,Courtney Crutchfield
32,Witting-Hartmann,42.63,Arthur Coatman
33,Maggio Group,36.57,Stanly Rutland
34,Emard-Grady,43.27,Maritsa Alldridge
35,"Yost, Green and Reynolds",76.09,Ralina Tritton
36,Will-Harvey,75.39,Gaylord Seville
37,Mohr-Emard,83.29,Whitney Mordanti
38,Welch-Wilderman,7.77,Ralph Ruddiforth
39,Luettgen Group,43.84,Melosa Merkel
40,Greenholt LLC,18.78,Sada Fowlie
41,"Dickinson, Boehm and Tromp",44.84,Keri Rickcord
42,Cormier LLC,68.72,Esma Cobb
43,"Bernhard, Bednar and Cronin",18.22,Fionna Hotton
44,Parisian and Sons,22.16,Lyle Emburey
45,Sawayn-Nolan,3.68,Modesty Wedgbrow
46,Witting Inc,59.02,Willow Dottrell
47,Aufderhar LLC,79.76,Rosy Bilbrooke
48,Greenholt-Goyette,96.55,Egor Cordero
49,Trantow LLC,35.52,Nevins Wawer
50,Kunde-Friesen,41.34,Demetra Starling
51,"Parisian, Mertz and Ratke",74.21,Cirillo McTurlough
52,Kris Group,78.31,Lori Cheston
53,"Boehm, Walsh and Bergnaum",83.73,Humfrey Heimann
54,Runte-Durgan,96.82,Yule Beaze
55,Stoltenberg Inc,82.48,Tracey Quenell
56,Kautzer and Sons,84.02,Athene Bayldon
57,"Gutkowski, Zboncak and Rempel",76.63,Mair Davidowsky
